Id,ContractName,Side,Size,EntryPrice,ExitPrice,EnteredAt,ExitedAt,Fees,PnL
100001,ES,Buy,2,5210.25,5213.50,2026-06-15T09:45:00-04:00,2026-06-15T09:58:00-04:00,8.08,316.92
100002,ES,Sell,1,5220.00,5216.75,2026-06-15T10:12:00-04:00,2026-06-15T10:20:00-04:00,4.04,158.46
100003,MES,Buy,4,5230.50,5228.00,2026-06-15T10:41:00-04:00,2026-06-15T10:47:00-04:00,5.36,-55.36
100004,NQ,Buy,1,18900.00,18925.00,2026-06-16T09:38:00-04:00,2026-06-16T09:52:00-04:00,4.04,495.96
100005,NQ,Sell,1,18980.00,18990.00,2026-06-16T11:05:00-04:00,2026-06-16T11:19:00-04:00,4.04,-204.04
100006,MNQ,Buy,3,18850.00,18870.00,2026-06-16T13:22:00-04:00,2026-06-16T13:40:00-04:00,4.02,115.98
100007,MES,Sell,2,5240.00,5235.50,2026-06-17T09:50:00-04:00,2026-06-17T10:03:00-04:00,2.68,42.32
100008,ES,Buy,1,5250.75,5249.00,2026-06-17T10:35:00-04:00,2026-06-17T10:44:00-04:00,4.04,-91.54
100009,MNQ,Sell,5,18900.00,18880.00,2026-06-17T14:10:00-04:00,2026-06-17T14:33:00-04:00,6.70,193.30
100010,NQ,Buy,1,18820.00,18845.00,2026-06-18T09:41:00-04:00,2026-06-18T09:55:00-04:00,4.04,495.96
100011,MES,Buy,3,5205.00,5205.00,2026-06-18T11:47:00-04:00,2026-06-18T11:52:00-04:00,4.02,-4.02
100012,ES,Sell,2,5265.25,5260.00,2026-06-18T13:31:00-04:00,2026-06-18T13:49:00-04:00,8.08,516.92
